PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1629029,1,Luka Doncic,1610612742,DAL,60,37.5,11.6,23.8,0.488,3.9,10.4,0.376,7.0,8.9,0.788,0.8,8.2,9.0,9.8,1.4,0.6,4.0,34.1,36.9
1628983,2,Shai Gilgeous-Alexander,1610612760,OKC,67,34.4,10.9,20.1,0.544,1.3,3.5,0.376,7.7,8.8,0.875,0.9,4.8,5.6,6.4,2.1,0.9,2.1,30.9,33.5
203507,3,Giannis Antetokounmpo,1610612749,MIL,64,35.0,11.4,18.6,0.616,0.5,1.8,0.292,7.4,11.2,0.665,2.5,8.7,11.2,6.4,1.2,1.0,3.4,30.8,36.4
201142,4,Kevin Durant,1610612756,PHX,62,37.3,10.1,19.3,0.525,2.2,5.3,0.417,5.3,6.2,0.853,0.5,6.2,6.7,5.3,0.9,1.3,3.3,27.7,28.6
1628973,5,Jalen Brunson,1610612752,NYK,63,35.2,9.8,20.5,0.478,2.7,6.7,0.4,5.3,6.3,0.843,0.6,3.1,3.7,6.4,1.0,0.2,2.5,27.6,24.6
1628378,6,Donovan Mitchell,1610612739,CLE,49,35.3,9.4,20.2,0.468,3.4,9.1,0.373,5.1,5.9,0.862,0.9,4.4,5.3,6.1,1.8,0.5,2.9,27.4,26.6
1628369,7,Jayson Tatum,1610612738,BOS,65,35.7,9.2,19.4,0.474,3.2,8.4,0.382,5.6,6.7,0.83,0.9,7.4,8.3,4.9,1.0,0.6,2.5,27.1,28.0
1626164,8,Devin Booker,1610612756,PHX,55,35.9,9.5,19.4,0.491,2.1,5.8,0.355,5.9,6.7,0.881,0.8,3.9,4.7,7.0,0.9,0.4,2.5,27.1,27.0
201939,9,Stephen Curry,1610612744,GSW,62,32.7,8.8,19.6,0.45,4.9,12.0,0.405,4.3,4.6,0.92,0.5,3.8,4.4,4.9,0.8,0.4,2.9,26.8,23.1
1628368,10,De'Aaron Fox,1610612758,SAC,60,35.7,9.8,20.8,0.471,2.8,7.5,0.367,4.4,6.0,0.721,0.9,3.5,4.4,5.7,1.9,0.4,2.7,26.7,23.7
1630162,11,Anthony Edwards,1610612750,MIN,66,35.2,9.4,20.1,0.467,2.5,6.8,0.371,5.3,6.4,0.836,0.6,4.8,5.4,5.1,1.3,0.6,3.1,26.7,24.2
1629027,12,Trae Young,1610612737,ATL,51,36.5,8.2,19.3,0.426,3.3,8.9,0.371,6.6,7.8,0.856,0.4,2.3,2.7,10.8,1.4,0.2,4.3,26.4,25.0
203999,13,Nikola Jokic,1610612743,DEN,67,34.4,10.2,17.6,0.582,1.0,2.9,0.354,4.5,5.5,0.825,2.9,9.4,12.3,9.0,1.3,0.9,2.9,26.0,38.1
1630178,14,Tyrese Maxey,1610612755,PHI,60,37.2,9.0,20.0,0.447,3.0,8.1,0.377,4.8,5.5,0.87,0.5,3.2,3.7,6.2,1.0,0.5,1.7,25.7,23.6
2544,15,LeBron James,1610612747,LAL,60,35.1,9.6,18.0,0.532,2.2,5.4,0.406,4.1,5.5,0.746,0.9,6.3,7.2,8.1,1.2,0.6,3.3,25.5,29.5
203081,16,Damian Lillard,1610612749,MIL,64,35.1,7.5,17.5,0.427,3.1,8.6,0.358,6.5,7.0,0.927,0.5,3.8,4.4,7.0,1.0,0.2,2.6,24.5,24.1
203076,17,Anthony Davis,1610612747,LAL,65,35.5,9.3,16.8,0.554,0.3,1.2,0.269,5.5,6.7,0.813,3.0,9.3,12.3,3.6,1.2,2.4,2.0,24.4,33.2
202695,18,Kawhi Leonard,1610612746,LAC,62,34.2,8.9,17.0,0.526,2.1,5.0,0.423,3.8,4.3,0.888,1.2,4.9,6.0,3.6,1.7,0.8,1.7,23.8,25.8
201942,19,DeMar DeRozan,1610612741,CHI,67,37.7,7.9,16.5,0.475,1.0,2.9,0.337,6.6,7.6,0.861,0.6,3.7,4.3,5.3,1.0,0.6,1.5,23.2,23.2
1627759,20,Jaylen Brown,1610612738,BOS,62,33.4,9.0,17.9,0.501,2.1,5.9,0.358,3.2,4.5,0.705,1.2,4.4,5.6,3.7,1.1,0.5,2.3,23.2,21.5
1628374,21,Lauri Markkanen,1610612762,UTA,52,32.8,7.8,16.0,0.483,3.2,8.0,0.399,4.4,4.9,0.89,2.3,6.1,8.3,2.0,0.9,0.5,1.4,23.0,24.5
